strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-16,2021-08-20,2021-09-17,2021-10-15,2021-11-19
22.5,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,1.0,0.361328125,0.5234375,0.78125,0.470703125
25.0,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,1.0,0.361328125,0.5234375,0.78125,0.470703125
30.0,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,1.0,0.361328125,0.5234375,0.78125,0.470703125
35.0,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,1.0,0.361328125,0.5234375,0.78125,0.470703125
40.0,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,1.0,0.361328125,0.5234375,0.75,0.470703125
45.0,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,0.75,0.361328125,0.5234375,0.703125,0.470703125
50.0,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,0.875,0.361328125,0.5234375,0.6484375,0.470703125
55.0,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,0.8125,0.361328125,0.5234375,0.609375,0.470703125
60.0,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,0.78125,0.361328125,0.5234375,0.5703125,0.470703125
65.0,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,0.6875,0.361328125,0.5234375,0.5625,0.470703125
68.75,1.0,0.5625,0.359375,0.4140625,0.9375,0.6875,0.296875,0.671875,0.361328125,0.5234375,0.541015625,0.470703125
70.0,1.0,0.5625,0.359375,0.4140625,0.78125,0.6875,0.296875,0.65625,0.361328125,0.5234375,0.51953125,0.470703125
71.25,1.0,0.5625,0.359375,0.4140625,0.78125,0.6875,0.296875,0.64453125,0.361328125,0.5234375,0.50634765625,0.46533203125
72.5,1.0,0.5625,0.359375,0.4140625,0.859375,0.6875,0.296875,0.6328125,0.361328125,0.5234375,0.4931640625,0.4599609375
73.75,1.0,0.5625,0.359375,0.4140625,0.75,0.6875,0.296875,0.62109375,0.361328125,0.509765625,0.47998046875,0.45458984375
75.0,1.0,0.5625,0.359375,0.4140625,0.6875,0.6875,0.296875,0.609375,0.361328125,0.49609375,0.466796875,0.44921875
77.5,1.0,0.5625,0.359375,0.4140625,0.71875,0.65625,0.296875,0.578125,0.361328125,0.4765625,0.447265625,0.431640625
80.0,1.0,0.5625,0.359375,0.4140625,0.65625,0.625,0.296875,0.546875,0.361328125,0.48046875,0.427734375,0.4140625
82.5,1.0,0.5625,0.359375,0.4140625,0.625,0.6484375,0.296875,0.5234375,0.361328125,0.4453125,0.4140625,0.404296875
85.0,1.0,0.5625,0.359375,0.4140625,0.59375,0.671875,0.296875,0.5,0.361328125,0.427734375,0.400390625,0.39453125
87.5,1.0,0.5625,0.359375,0.4140625,0.5703125,0.6015625,0.296875,0.48046875,0.361328125,0.40625,0.390625,0.37890625
90.0,1.0,0.5625,0.359375,0.4140625,0.546875,0.53125,0.296875,0.4609375,0.361328125,0.396484375,0.380859375,0.36328125
92.5,1.0,0.5625,0.359375,0.4140625,0.515625,0.50390625,0.296875,0.4375,0.361328125,0.390625,0.36279296875,0.353515625
95.0,1.0,0.5625,0.359375,0.4140625,0.5,0.4765625,0.296875,0.4140625,0.361328125,0.3642578125,0.3447265625,0.34375
96.0,1.0,0.5625,0.359375,0.4140625,0.4947916666666667,0.4654947916666667,0.296875,0.4088541666666667,0.361328125,0.3600260416666667,0.3429361979166667,0.3416341145833333
97.0,1.0,0.5625,0.359375,0.4140625,0.4895833333333333,0.4544270833333333,0.296875,0.4036458333333333,0.361328125,0.3557942708333333,0.3411458333333333,0.3395182291666667
97.5,1.0,0.5625,0.359375,0.4140625,0.484375,0.443359375,0.296875,0.3984375,0.361328125,0.3515625,0.33935546875,0.33740234375
98.0,1.0,0.5625,0.359375,0.4140625,0.4713541666666667,0.4322916666666667,0.296875,0.3932291666666667,0.361328125,0.3463541666666667,0.3375651041666667,0.3352864583333333
99.0,1.0,0.5625,0.359375,0.4140625,0.4583333333333333,0.4212239583333333,0.296875,0.3880208333333333,0.361328125,0.3411458333333333,0.3357747395833333,0.3331705729166667
100.0,0.75,0.5625,0.359375,0.4140625,0.4453125,0.41015625,0.296875,0.3828125,0.361328125,0.3359375,0.333984375,0.3310546875
101.0,0.75,0.5625,0.359375,0.4140625,0.4348958333333333,0.4029947916666667,0.296875,0.3756510416666667,0.357421875,0.3317057291666667,0.33056640625,0.3289388020833333
102.0,0.5,0.5625,0.359375,0.4140625,0.4244791666666667,0.3958333333333333,0.296875,0.3684895833333333,0.353515625,0.3274739583333333,0.3271484375,0.3268229166666667
102.5,0.5,0.546875,0.359375,0.4140625,0.4140625,0.388671875,0.296875,0.361328125,0.349609375,0.3232421875,0.32373046875,0.32470703125
103.0,0.5,0.53125,0.359375,0.4140625,0.4088541666666667,0.3815104166666667,0.296875,0.3541666666666667,0.345703125,0.3235677083333333,0.3203125,0.3225911458333333
104.0,0.5,0.53125,0.359375,0.4140625,0.4036458333333333,0.3743489583333333,0.296875,0.3470052083333333,0.341796875,0.3238932291666667,0.31689453125,0.3204752604166667
105.0,0.75,0.5,0.359375,0.4140625,0.3984375,0.3671875,0.296875,0.33984375,0.337890625,0.32421875,0.3134765625,0.318359375
106.0,0.5,0.53125,0.359375,0.4049479166666667,0.3932291666666667,0.3609375,0.296875,0.3356119791666667,0.3343098958333333,0.3186848958333333,0.3111979166666667,0.3164876302083333
107.0,0.5,0.46875,0.359375,0.3958333333333333,0.3880208333333333,0.3546875,0.296875,0.3313802083333333,0.3307291666666667,0.3131510416666667,0.3089192708333333,0.3146158854166667
107.5,0.59375,0.4609375,0.359375,0.38671875,0.3828125,0.3484375,0.296875,0.3271484375,0.3271484375,0.3076171875,0.306640625,0.312744140625
108.0,0.6875,0.453125,0.359375,0.3776041666666667,0.3717447916666667,0.3421875,0.296875,0.3229166666666667,0.3235677083333333,0.3063151041666667,0.3043619791666667,0.3108723958333333
109.0,0.5,0.4375,0.359375,0.3684895833333333,0.3606770833333333,0.3359375,0.296875,0.3186848958333333,0.3199869791666667,0.3050130208333333,0.3020833333333333,0.3090006510416667
110.0,0.625,0.4375,0.359375,0.359375,0.349609375,0.328125,0.296875,0.314453125,0.31640625,0.3037109375,0.2998046875,0.30712890625
111.0,0.5625,0.4140625,0.359375,0.34765625,0.349609375,0.3125,0.296875,0.310546875,0.314453125,0.2985026041666667,0.298095703125,0.3053385416666667
112.0,0.5625,0.3984375,0.3359375,0.3359375,0.349609375,0.302734375,0.296875,0.306640625,0.3125,0.2932942708333333,0.29638671875,0.3035481770833333
112.5,0.546875,0.38671875,0.33984375,0.32421875,0.349609375,0.3056640625,0.296875,0.302734375,0.310546875,0.2880859375,0.294677734375,0.3017578125
113.0,0.53125,0.375,0.34375,0.3125,0.349609375,0.30859375,0.296875,0.298828125,0.30859375,0.2916666666666667,0.29296875,0.2999674479166667
114.0,0.5,0.3828125,0.328125,0.30078125,0.349609375,0.314453125,0.296875,0.294921875,0.306640625,0.2952473958333333,0.291259765625,0.2981770833333333
115.0,0.5396205357142857,0.3671875,0.3203125,0.30859375,0.349609375,0.3046875,0.296875,0.291015625,0.3046875,0.298828125,0.28955078125,0.29638671875
116.0,0.5792410714285714,0.35546875,0.3125,0.3046875,0.349609375,0.294921875,0.2890625,0.2880859375,0.30126953125,0.29296875,0.287353515625,0.2945963541666667
117.0,0.6188616071428571,0.33984375,0.296875,0.287109375,0.349609375,0.28125,0.2822265625,0.28515625,0.2978515625,0.287109375,0.28515625,0.2928059895833333
117.5,0.6584821428571428,0.33203125,0.2890625,0.2802734375,0.349609375,0.27587890625,0.27587890625,0.2822265625,0.29443359375,0.28125,0.282958984375,0.291015625
118.0,0.6981026785714286,0.32421875,0.28125,0.2734375,0.349609375,0.2705078125,0.26953125,0.279296875,0.291015625,0.2789713541666667,0.28076171875,0.2892252604166667
119.0,0.7377232142857143,0.31640625,0.2890625,0.263671875,0.349609375,0.283203125,0.267578125,0.2763671875,0.28759765625,0.2766927083333333,0.278564453125,0.2874348958333333
120.0,0.77734375,0.296875,0.26171875,0.275390625,0.349609375,0.2685546875,0.27734375,0.2734375,0.2841796875,0.2744140625,0.2763671875,0.28564453125
121.0,0.8169642857142857,0.29296875,0.259765625,0.251953125,0.349609375,0.271484375,0.2568359375,0.2708984375,0.28466796875,0.2744140625,0.2771484375,0.28671875
122.0,0.8565848214285714,0.3127170138888889,0.2578125,0.2646484375,0.349609375,0.2604166666666667,0.2509765625,0.268359375,0.28515625,0.2744140625,0.2779296875,0.28779296875
