strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-16,2021-09-17,2021-10-15,2021-12-17
35.0,1.5,0.28125,0.4921875,0.32421875,0.75,0.31640625,0.33984375,0.734375,0.44921875,0.546875,0.578125
37.5,1.5,0.28125,0.4921875,0.32421875,0.75,0.31640625,0.33984375,0.734375,0.44921875,0.546875,0.53515625
40.0,1.5,0.28125,0.4921875,0.32421875,0.75,0.31640625,0.33984375,0.734375,0.44921875,0.546875,0.50390625
42.5,1.5,0.28125,0.4921875,0.32421875,0.75,0.31640625,0.33984375,0.703125,0.44921875,0.5,0.474609375
45.0,1.5,0.28125,0.4921875,0.32421875,0.75,0.31640625,0.33984375,0.6875,0.44921875,0.4765625,0.4453125
47.5,1.5,0.28125,0.4921875,0.32421875,0.75,0.31640625,0.33984375,0.65625,0.44921875,0.451171875,0.43359375
50.0,1.5,0.28125,0.4921875,0.32421875,0.671875,0.31640625,0.33984375,0.5625,0.44921875,0.42578125,0.416015625
52.5,1.25,0.28125,0.4921875,0.32421875,0.609375,0.31640625,0.33984375,0.51953125,0.421875,0.4111328125,0.3974609375
55.0,1.0,0.28125,0.4921875,0.32421875,0.5625,0.31640625,0.33984375,0.4765625,0.40625,0.396484375,0.37890625
57.5,1.0,0.28125,0.4921875,0.32421875,0.53125,0.31640625,0.33984375,0.4375,0.38671875,0.3759765625,0.37158203125
60.0,1.0,0.28125,0.4921875,0.32421875,0.484375,0.31640625,0.33984375,0.4140625,0.36328125,0.35546875,0.3642578125
62.5,0.75,0.28125,0.4921875,0.32421875,0.4140625,0.31640625,0.33984375,0.38671875,0.35546875,0.349609375,0.34765625
64.0,0.875,0.28125,0.4921875,0.32421875,0.3984375,0.31640625,0.33984375,0.3671875,0.3505859375,0.3408203125,0.34326171875
65.0,0.875,0.28125,0.4921875,0.32421875,0.3828125,0.31640625,0.33984375,0.34765625,0.345703125,0.33203125,0.3388671875
66.0,0.8125,0.28125,0.4921875,0.32421875,0.3671875,0.31640625,0.33984375,0.3424479166666667,0.3391927083333333,0.3291015625,0.3483072916666667
67.0,0.75,0.28125,0.4921875,0.32421875,0.3515625,0.31640625,0.33984375,0.3372395833333333,0.3326822916666667,0.326171875,0.3577473958333333
67.5,0.6875,0.28125,0.375,0.32421875,0.3359375,0.31640625,0.33984375,0.33203125,0.326171875,0.3232421875,0.3671875
68.0,0.6875,0.28125,0.4921875,0.32421875,0.32890625,0.31640625,0.33984375,0.328125,0.3255859375,0.32265625,0.3603515625
68.5,0.625,0.28125,0.34375,0.32421875,0.321875,0.31640625,0.33984375,0.32421875,0.325,0.3220703125,0.353515625
69.0,0.5625,0.28125,0.375,0.32421875,0.31484375,0.31640625,0.33984375,0.3203125,0.3244140625,0.321484375,0.3466796875
69.5,0.59375,0.28125,0.328125,0.435546875,0.3078125,0.31640625,0.33203125,0.31640625,0.323828125,0.3208984375,0.33984375
70.0,0.5625,0.28125,0.3203125,0.31640625,0.30078125,0.31640625,0.32421875,0.3125,0.3232421875,0.3203125,0.3330078125
70.5,0.5,0.28125,0.30859375,0.3125,0.29609375,0.384765625,0.3193359375,0.312109375,0.319921875,0.317578125,0.330078125
71.0,0.484375,0.28125,0.296875,0.29296875,0.29140625,0.296875,0.314453125,0.31171875,0.3166015625,0.31484375,0.3271484375
71.5,0.46875,0.28125,0.30078125,0.2890625,0.28671875,0.294921875,0.3095703125,0.311328125,0.31328125,0.312109375,0.32421875
72.0,0.440625,0.28125,0.28125,0.2890625,0.28203125,0.291015625,0.3046875,0.3109375,0.3099609375,0.309375,0.3212890625
72.5,0.4125,0.28125,0.2734375,0.28125,0.27734375,0.302734375,0.2998046875,0.310546875,0.306640625,0.306640625,0.318359375
73.0,0.384375,0.28125,0.2734375,0.28515625,0.275,0.2890625,0.294921875,0.3046875,0.3072265625,0.30625,0.31953125
73.5,0.35625,0.28125,0.26171875,0.26171875,0.27265625,0.296875,0.2900390625,0.298828125,0.3078125,0.305859375,0.320703125
74.0,0.328125,0.28515625,0.25390625,0.26171875,0.2703125,0.28125,0.28515625,0.29296875,0.3083984375,0.30546875,0.321875
74.5,0.3515625,0.265625,0.30078125,0.26953125,0.26796875,0.26953125,0.2802734375,0.287109375,0.308984375,0.305078125,0.323046875
75.0,0.328125,0.26171875,0.26171875,0.24609375,0.265625,0.263671875,0.275390625,0.28125,0.3095703125,0.3046875,0.32421875
75.5,0.2890625,0.2421875,0.24609375,0.248046875,0.265625,0.296875,0.2705078125,0.280078125,0.3099609375,0.3060546875,0.323828125
76.0,0.2734375,0.2421875,0.24609375,0.23828125,0.265625,0.263671875,0.265625,0.27890625,0.3103515625,0.307421875,0.3234375
76.5,0.265625,0.25390625,0.23828125,0.248046875,0.265625,0.267578125,0.265625,0.277734375,0.3107421875,0.3087890625,0.323046875
