strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-16,2021-08-20,2021-09-17,2021-12-17
5.0,1.5,1.0625,1.125,1.375,1.0,1.265625,1.09375,0.890625,0.90625,1.03125,0.9375
7.0,1.5,1.0625,1.125,1.375,1.0,1.265625,1.09375,0.890625,0.90625,1.03125,0.921875
8.0,1.5,1.0625,1.125,1.375,1.0,1.265625,1.09375,0.890625,0.90625,1.03125,0.90625
9.0,1.5,1.0625,1.125,1.3125,1.0625,1.265625,1.09375,0.890625,0.90625,1.0625,0.890625
9.5,1.5,1.0625,1.125,1.34375,1.03125,1.265625,1.0546875,0.890625,0.90625,0.9921875,0.875
10.0,1.5,1.0625,1.125,1.375,1.0,1.265625,1.015625,0.890625,0.90625,0.921875,0.859375
10.5,1.5,1.0625,1.125,1.15625,0.984375,1.265625,1.015625,0.890625,0.9765625,0.90625,0.9140625
11.0,1.5,1.0625,1.0,0.9375,0.96875,1.265625,1.015625,0.890625,1.046875,0.890625,0.96875
11.5,1.5,1.0625,1.0625,0.921875,0.953125,1.265625,1.078125,0.890625,0.96484375,0.89453125,0.919921875
12.0,1.5,1.0,0.90625,0.90625,0.9375,1.265625,1.140625,0.890625,0.8828125,0.8984375,0.87109375
12.5,1.25,0.9375,0.90625,0.9375,0.9296875,1.265625,1.203125,0.890625,0.90625,0.96484375,0.861328125
13.0,1.25,0.96875,0.90625,0.90625,0.921875,1.265625,0.90625,0.890625,0.9296875,1.03125,0.8515625
13.5,1.125,0.96875,0.90625,0.9375,0.921875,1.265625,0.94140625,0.890625,0.8984375,0.95703125,0.859375
14.0,1.0625,0.90625,0.890625,0.90625,0.921875,1.265625,0.9765625,0.890625,0.8671875,0.8828125,0.8671875
14.5,1.0,0.953125,0.90625,0.890625,0.921875,1.265625,1.01171875,0.890625,0.8828125,0.8828125,0.880859375
15.0,0.96875,0.90625,0.84375,0.859375,0.921875,1.265625,1.046875,0.890625,0.8984375,0.8828125,0.89453125
15.5,1.0,0.921875,0.90625,0.9296875,0.92578125,1.265625,1.13671875,0.890625,0.96484375,0.888671875,0.892578125
16.0,0.9375,0.921875,0.984375,0.875,0.9296875,1.265625,1.2265625,0.890625,1.03125,0.89453125,0.890625
16.5,1.0,0.828125,1.0,1.28125,0.91015625,1.265625,1.31640625,0.89453125,0.99609375,0.8828125,0.98046875
17.0,1.0625,0.953125,0.96875,1.15625,0.890625,1.5390625,1.40625,0.8984375,0.9609375,0.87109375,1.0703125
17.5,1.125,0.890625,0.875,0.875,0.921875,0.9765625,1.4453125,0.984375,1.009765625,0.900390625,1.009765625
18.0,0.5,1.0,0.9375,1.25,0.953125,1.34375,1.484375,1.0703125,1.05859375,0.9296875,0.94921875
18.5,1.6875,0.9375,1.03125,0.984375,0.9453125,1.1171875,1.5234375,1.00390625,0.9765625,1.078125,0.9375
19.0,1.25,0.9375,1.484375,1.59375,0.9375,0.890625,1.5625,0.9375,0.89453125,1.2265625,0.92578125
19.5,1.375,1.109375,1.0625,1.90625,0.9609375,0.921875,1.6015625,0.9453125,0.935546875,1.19921875,1.001953125
20.0,1.5,1.28125,1.0,1.7760416666666667,0.984375,0.953125,1.625,0.953125,0.9765625,1.171875,1.078125
20.5,1.4736842105263157,1.34375,0.9375,1.6458333333333333,1.015625,1.125,1.625,1.2734375,0.98046875,1.1171875,1.095703125
21.0,1.4473684210526316,1.40625,0.875,1.515625,1.046875,1.3229166666666667,1.625,1.59375,0.984375,1.0625,1.11328125
21.5,1.4210526315789473,1.46875,0.8125,1.6171875,1.2265625,1.5208333333333333,1.625,1.58984375,0.98828125,1.20703125,1.064453125
22.0,1.3947368421052633,1.53125,1.34375,1.71875,1.40625,1.71875,1.625,1.5859375,0.9921875,1.3515625,1.015625
22.5,1.368421052631579,1.59375,1.875,1.8203125,1.171875,1.85546875,1.625,1.4375,0.99609375,1.2265625,0.962890625
23.0,1.3421052631578947,1.65625,1.875,1.921875,0.9375,1.9921875,1.625,1.2890625,1.0,1.1015625,0.91015625
23.5,1.3157894736842106,1.71875,1.875,1.875,1.046875,1.9565972222222223,1.625,1.4296875,1.00390625,1.09765625,1.041015625
24.0,1.2894736842105263,1.78125,1.875,1.828125,1.15625,1.9210069444444444,1.625,1.5703125,1.0078125,1.09375,1.171875
24.5,1.263157894736842,1.84375,1.875,1.5625,1.203125,1.8854166666666667,1.625,1.46484375,1.23828125,1.130859375,1.177734375
25.0,1.236842105263158,1.90625,1.875,1.5913461538461537,1.25,1.8498263888888888,1.625,1.359375,1.46875,1.16796875,1.18359375
25.5,1.2105263157894737,1.96875,1.875,1.6201923076923077,1.4609375,1.8142361111111112,1.625,1.56640625,1.4869791666666667,1.177734375,1.140625
26.0,1.1842105263157894,1.96875,1.875,1.6490384615384615,1.671875,1.7786458333333333,1.625,1.7734375,1.5052083333333333,1.1875,1.09765625
26.5,1.1578947368421053,1.96875,1.875,1.6778846153846154,1.603515625,1.7430555555555556,1.625,1.7317708333333333,1.5234375,1.19140625,1.13359375
27.0,1.131578947368421,1.96875,1.875,1.7067307692307692,1.53515625,1.7074652777777777,1.625,1.6901041666666667,1.5416666666666667,1.1953125,1.16953125
28.0,1.1052631578947367,1.96875,1.875,1.7355769230769231,1.466796875,1.671875,1.625,1.6484375,1.5598958333333333,1.2125,1.20546875
29.0,1.0789473684210527,1.96875,1.875,1.7644230769230769,1.3984375,1.671875,1.625,1.484375,1.578125,1.2296875,1.24140625
30.0,1.0526315789473686,1.96875,1.875,1.7932692307692308,1.330078125,1.671875,1.625,1.15625,1.578125,1.246875,1.27734375
31.0,1.0263157894736843,1.96875,1.875,1.8221153846153846,1.26171875,1.671875,1.625,1.1875,1.578125,1.2640625,1.2640625
32.0,1.0,1.96875,1.875,1.8509615384615385,1.193359375,1.671875,1.625,1.21875,1.578125,1.28125,1.25078125
33.0,1.0,1.96875,1.875,1.8798076923076923,1.125,1.671875,1.625,1.2890625,1.578125,1.3125,1.2375
34.0,1.0,1.96875,1.875,1.9086538461538463,1.6875,1.671875,1.625,1.359375,1.578125,1.3125,1.22421875
35.0,1.0,1.96875,1.875,1.9375,1.375,1.671875,1.625,1.359375,1.578125,1.3125,1.2109375
36.0,1.0,1.96875,1.875,1.9375,1.4,1.671875,1.625,1.359375,1.578125,1.140625,1.2109375
37.0,1.0,1.96875,1.875,1.9375,1.425,1.671875,1.625,1.359375,1.578125,1.6796875,1.2109375
38.0,1.0,1.96875,1.875,1.9375,1.45,1.671875,1.625,1.359375,1.578125,1.015625,1.2109375
39.0,1.0,1.96875,1.875,1.9375,1.475,1.671875,1.625,1.359375,1.578125,0.9765625,1.2109375
40.0,1.0,1.96875,1.875,1.9375,1.5,1.671875,1.625,1.359375,1.578125,1.671875,1.2109375
41.0,1.0,1.96875,1.875,1.9375,1.525,1.671875,1.625,1.359375,1.578125,1.421875,1.2109375
42.0,1.0,1.96875,1.875,1.9375,1.55,1.671875,1.625,1.359375,1.578125,1.39453125,1.2109375
43.0,1.0,1.96875,1.875,1.9375,1.575,1.671875,1.625,1.359375,1.578125,1.3671875,1.2109375
44.0,1.0,1.96875,1.875,1.9375,1.6,1.671875,1.625,1.359375,1.578125,1.75,1.2109375
45.0,1.0,1.96875,1.875,1.9375,1.625,1.671875,1.625,1.359375,1.578125,1.21875,1.2109375
46.0,1.0,1.96875,1.875,1.9375,1.65,1.671875,1.625,1.359375,1.578125,1.2984375,1.2109375
47.0,1.0,1.96875,1.875,1.9375,1.675,1.671875,1.625,1.359375,1.578125,1.378125,1.2109375
48.0,1.0,1.96875,1.875,1.9375,1.7,1.671875,1.625,1.359375,1.578125,1.4578125,1.2109375
49.0,1.0,1.96875,1.875,1.9375,1.725,1.671875,1.625,1.359375,1.578125,1.5375,1.2109375
50.0,1.0,1.96875,1.875,1.9375,1.75,1.671875,1.625,1.359375,1.578125,1.6171875,1.2109375
55.0,1.0,1.96875,1.875,1.9375,1.875,1.671875,1.625,1.359375,1.578125,1.515625,1.2109375
60.0,1.0,1.96875,1.875,1.9375,1.875,1.671875,1.625,1.359375,1.578125,1.84375,1.2109375
