strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-16,2021-09-17,2021-12-17
17.5,1.296875,0.8046875,0.390625,0.359375,0.96875,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
20.0,1.296875,0.8046875,0.390625,0.359375,0.96875,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
22.5,1.296875,0.8046875,0.390625,0.359375,0.96875,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
25.0,1.296875,0.8046875,0.390625,0.359375,0.96875,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
27.5,1.296875,0.8046875,0.390625,0.359375,0.96875,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
30.0,1.296875,0.8046875,0.390625,0.359375,0.96875,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
32.5,1.296875,0.8046875,0.390625,0.359375,0.96875,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
35.0,1.296875,0.8046875,0.390625,0.359375,0.99140625,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
37.5,1.296875,0.8046875,0.390625,0.359375,1.0140625,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
40.0,1.296875,0.8046875,0.390625,0.359375,1.03671875,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
42.5,1.296875,0.8046875,0.390625,0.359375,1.059375,0.232421875,0.29296875,0.640625,0.5078125,0.34765625
45.0,1.296875,0.8046875,0.390625,0.359375,1.08203125,0.232421875,0.29296875,0.640625,0.4798177083333333,0.34765625
47.5,1.296875,0.8046875,0.390625,0.359375,0.7109375,0.232421875,0.29296875,0.72265625,0.4518229166666667,0.3388671875
50.0,1.296875,0.8046875,0.390625,0.359375,0.6875,0.232421875,0.29296875,0.359375,0.423828125,0.330078125
51.0,1.296875,0.8046875,0.390625,0.359375,0.63671875,0.232421875,0.29296875,0.3591579861111111,0.41064453125,0.3212890625
51.5,1.296875,0.8046875,0.390625,0.359375,0.5859375,0.232421875,0.29296875,0.3589409722222222,0.3974609375,0.3125
52.0,1.296875,0.8046875,0.390625,0.359375,0.53515625,0.232421875,0.29296875,0.3587239583333333,0.38427734375,0.3037109375
52.5,1.296875,0.8046875,0.390625,0.359375,0.484375,0.232421875,0.29296875,0.3585069444444444,0.37109375,0.294921875
53.0,1.296875,0.8046875,0.390625,0.359375,0.4671875,0.232421875,0.29296875,0.3582899305555556,0.355078125,0.29140625
53.5,1.296875,0.8046875,0.390625,0.359375,0.45,0.232421875,0.29296875,0.3580729166666667,0.3390625,0.287890625
54.0,1.296875,0.8046875,0.390625,0.359375,0.4328125,0.232421875,0.29296875,0.3578559027777778,0.323046875,0.284375
54.5,1.296875,0.8046875,0.390625,0.359375,0.415625,0.232421875,0.29296875,0.3576388888888889,0.30703125,0.280859375
55.0,1.296875,0.8046875,0.390625,0.359375,0.3984375,0.232421875,0.29296875,0.357421875,0.291015625,0.27734375
55.5,1.296875,0.77734375,0.390625,0.359375,0.39296875,0.232421875,0.29296875,0.3515625,0.29140625,0.2736328125
56.0,1.296875,0.75,0.390625,0.359375,0.3875,0.232421875,0.29296875,0.345703125,0.291796875,0.269921875
56.5,1.296875,0.7239583333333334,0.390625,0.359375,0.38203125,0.232421875,0.29296875,0.33984375,0.2921875,0.2662109375
57.0,0.9375,0.6979166666666666,0.390625,0.3723958333333333,0.3765625,0.232421875,0.29296875,0.333984375,0.292578125,0.2625
57.5,0.7421875,0.671875,0.390625,0.3854166666666667,0.37109375,0.232421875,0.29296875,0.328125,0.29296875,0.2587890625
58.0,0.890625,0.1875,0.390625,0.3984375,0.35234375,0.232421875,0.29296875,0.318359375,0.2884765625,0.256640625
58.5,1.09375,0.15625,0.3515625,0.3828125,0.33359375,0.232421875,0.29296875,0.30859375,0.283984375,0.2544921875
59.0,0.5234375,0.140625,0.3125,0.35546875,0.31484375,0.232421875,0.29296875,0.298828125,0.2794921875,0.25234375
59.5,0.5703125,0.34375,0.421875,0.20703125,0.29609375,0.232421875,0.29296875,0.2890625,0.275,0.2501953125
60.0,0.40625,0.36328125,0.3125,0.28515625,0.27734375,0.34375,0.29296875,0.279296875,0.2705078125,0.248046875
60.5,0.65625,0.328125,0.33984375,0.35546875,0.275,0.322265625,0.29296875,0.276171875,0.2685546875,0.248046875
61.0,0.3046875,0.4921875,0.30859375,0.287109375,0.27265625,0.26953125,0.29296875,0.273046875,0.2666015625,0.248046875
61.5,0.359375,0.296875,0.328125,0.28125,0.2703125,0.26953125,0.29296875,0.269921875,0.2646484375,0.248046875
62.0,0.359375,0.390625,0.31640625,0.2890625,0.26796875,0.28125,0.29296875,0.266796875,0.2626953125,0.248046875
62.5,0.359375,0.28125,0.3203125,0.265625,0.265625,0.24609375,0.29296875,0.263671875,0.2607421875,0.248046875
63.0,0.328125,0.28125,0.3125,0.24609375,0.2625,0.271484375,0.29296875,0.26171875,0.259375,0.2498046875
63.5,0.3203125,0.27734375,0.302734375,0.296875,0.259375,0.3125,0.29296875,0.259765625,0.2580078125,0.2515625
