strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-16,2021-09-17,2021-12-17
17.5,1.28125,0.5625,0.65625,0.421875,1.875,0.36328125,0.2578125,0.4609375,0.5,0.453125
20.0,1.28125,0.5625,0.65625,0.421875,1.6666666666666667,0.36328125,0.2578125,0.4609375,0.5,0.453125
22.5,1.28125,0.5625,0.65625,0.421875,1.4583333333333333,0.36328125,0.2578125,0.4609375,0.5,0.453125
25.0,1.28125,0.5625,0.65625,0.421875,1.25,0.36328125,0.2578125,0.4609375,0.6875,0.453125
27.5,1.28125,0.5625,0.65625,0.421875,1.6328125,0.36328125,0.2578125,0.4609375,0.796875,0.453125
30.0,1.28125,0.5625,0.65625,0.421875,1.0,0.36328125,0.2578125,0.4609375,0.546875,0.453125
32.5,1.28125,0.5625,0.65625,0.421875,0.875,0.36328125,0.2578125,0.4609375,0.5625,0.44140625
35.0,1.28125,0.5625,0.65625,0.421875,0.8125,0.36328125,0.2578125,0.4609375,0.515625,0.4296875
37.5,1.28125,0.5625,0.65625,0.421875,0.8125,0.36328125,0.2578125,0.4609375,0.421875,0.4375
40.0,1.28125,0.5625,0.65625,0.421875,0.625,0.36328125,0.2578125,0.4609375,0.421875,0.4453125
42.5,1.28125,0.5625,0.65625,0.421875,0.5625,0.36328125,0.2578125,0.4609375,0.3828125,0.376953125
45.0,1.28125,0.5625,0.65625,0.421875,0.4375,0.36328125,0.2578125,0.4609375,0.40234375,0.369140625
47.5,1.28125,0.5625,0.65625,0.421875,0.421875,0.36328125,0.2578125,0.46875,0.3515625,0.3359375
50.0,1.28125,0.5625,0.65625,0.421875,0.375,0.36328125,0.2578125,0.359375,0.318359375,0.310546875
51.0,1.28125,0.5625,0.5625,0.421875,0.365234375,0.36328125,0.2578125,0.349609375,0.3134765625,0.31396484375
51.5,1.28125,0.5625,0.546875,0.421875,0.35546875,0.36328125,0.2578125,0.33984375,0.30859375,0.3173828125
52.0,1.28125,0.546875,0.40625,0.421875,0.345703125,0.36328125,0.2578125,0.330078125,0.3037109375,0.32080078125
52.5,1.28125,0.609375,0.46875,0.421875,0.3359375,0.36328125,0.2578125,0.3203125,0.298828125,0.32421875
53.0,1.28125,0.40625,0.421875,0.421875,0.3265625,0.36328125,0.2578125,0.315625,0.29765625,0.31640625
53.5,0.875,0.546875,0.484375,0.421875,0.3171875,0.36328125,0.2578125,0.3109375,0.296484375,0.30859375
54.0,1.0,0.375,0.546875,0.421875,0.3078125,0.36328125,0.2578125,0.30625,0.2953125,0.30078125
54.5,0.8125,0.375,0.5625,0.36328125,0.2984375,0.3658854166666667,0.2578125,0.3015625,0.294140625,0.29296875
55.0,0.5625,0.34375,0.375,0.3046875,0.2890625,0.3684895833333333,0.2578125,0.296875,0.29296875,0.28515625
55.5,0.5,0.34375,0.47265625,0.328125,0.28046875,0.37109375,0.2578125,0.2921875,0.288671875,0.2837890625
56.0,0.5,0.4296875,0.375,0.3515625,0.271875,0.3359375,0.2578125,0.2875,0.284375,0.282421875
56.5,0.46875,0.34375,0.45703125,0.3828125,0.26328125,0.3046875,0.2578125,0.2828125,0.280078125,0.2810546875
57.0,0.4375,0.359375,0.28125,0.328125,0.2546875,0.3203125,0.2578125,0.278125,0.27578125,0.2796875
57.5,0.375,0.28125,0.2734375,0.3359375,0.24609375,0.2578125,0.2578125,0.2734375,0.271484375,0.2783203125
58.0,0.34375,0.25,0.34375,0.2578125,0.2421875,0.25,0.2578125,0.267578125,0.270703125,0.275390625
58.5,0.3125,0.2421875,0.25,0.234375,0.23828125,0.3125,0.2578125,0.26171875,0.269921875,0.2724609375
59.0,0.28125,0.2265625,0.23046875,0.23046875,0.234375,0.279296875,0.2578125,0.255859375,0.269140625,0.26953125
59.5,0.25,0.1953125,0.23828125,0.212890625,0.23046875,0.24609375,0.2578125,0.25,0.268359375,0.2666015625
60.0,0.265625,0.203125,0.2109375,0.23046875,0.2265625,0.36328125,0.2578125,0.244140625,0.267578125,0.263671875
60.5,0.21875,0.171875,0.21484375,0.20703125,0.22109375,0.265625,0.2578125,0.23984375,0.265625,0.2615234375
61.0,0.203125,0.1484375,0.18359375,0.21875,0.215625,0.185546875,0.2578125,0.235546875,0.263671875,0.259375
61.5,0.1796875,0.1953125,0.16796875,0.203125,0.21015625,0.2265625,0.2578125,0.23125,0.26171875,0.2572265625
62.0,0.125,0.078125,0.1328125,0.203125,0.2046875,0.216796875,0.2578125,0.226953125,0.259765625,0.255078125
62.5,0.357421875,0.265625,0.19495738636363635,0.203125,0.19921875,0.216796875,0.2578125,0.22265625,0.2578125,0.2529296875
63.0,0.58984375,0.453125,0.2571022727272727,0.203125,0.19765625,0.216796875,0.2578125,0.2171875,0.249609375,0.2591552734375
63.5,0.822265625,0.640625,0.31924715909090906,0.203125,0.19609375,0.216796875,0.2578125,0.21171875,0.24140625,0.265380859375
64.0,1.0546875,0.828125,0.3813920454545454,0.203125,0.19453125,0.216796875,0.2578125,0.20625,0.233203125,0.2716064453125
64.5,1.0546875,0.828125,0.4435369318181818,0.203125,0.19296875,0.216796875,0.2578125,0.20078125,0.225,0.27783203125
65.0,1.0546875,0.828125,0.5056818181818181,0.203125,0.19140625,0.216796875,0.2578125,0.1953125,0.216796875,0.2840576171875
66.0,1.0546875,0.828125,0.5678267045454546,0.203125,0.2552083333333333,0.216796875,0.2578125,0.23307291666666666,0.22916666666666666,0.290283203125
67.0,1.0546875,0.828125,0.6299715909090908,0.203125,0.31901041666666663,0.216796875,0.2578125,0.2708333333333333,0.24153645833333334,0.2965087890625
67.5,1.0546875,0.828125,0.6921164772727273,0.203125,0.3828125,0.216796875,0.2578125,0.30859375,0.25390625,0.302734375
68.0,1.0546875,0.828125,0.7542613636363636,0.203125,0.3828125,0.216796875,0.2578125,0.4921875,0.373046875,0.3748046875
70.0,1.0546875,0.828125,0.81640625,0.203125,0.3828125,0.216796875,0.2578125,0.67578125,0.4921875,0.446875
75.0,1.0546875,0.828125,0.81640625,0.203125,0.3828125,0.216796875,0.2578125,0.80859375,0.556640625,0.5189453125
80.0,1.0546875,0.828125,0.81640625,0.203125,0.3828125,0.216796875,0.2578125,0.7109375,0.63671875,0.591015625
85.0,1.0546875,0.828125,0.81640625,0.203125,0.3828125,0.216796875,0.2578125,1.251953125,0.63671875,0.6630859375
90.0,1.0546875,0.828125,0.81640625,0.203125,0.3828125,0.216796875,0.2578125,1.251953125,0.63671875,0.6630859375
