strike,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-09-17,2021-12-17
0.5,1.0,1.0,1.25,1.25,1.0,1.0,1.0,1.5,1.25
1.0,1.0,1.0,1.25,1.25,1.0,1.0,1.0,1.5,1.25
1.5,1.0,1.0,1.25,1.25,1.0,1.0,1.0,1.375,1.328125
2.0,1.0,1.0,1.25,1.25,1.0,1.0,1.0,1.25,1.40625
2.5,1.0,1.0,1.25,1.25,1.0625,1.0,1.25,1.359375,1.46875
3.0,1.0,1.0,1.25,1.125,1.125,1.125,1.1875,1.46875,1.53125
3.5,1.0,1.25,1.25,1.25,1.25,1.25,1.3125,1.5078125,1.578125
4.0,1.5,1.3125,1.375,1.4375,1.375,1.34375,1.375,1.546875,1.625
4.5,1.75,1.5625,1.625,1.53125,1.5,1.53125,1.53125,1.6015625,1.6640625
5.0,1.75,1.75,1.875,1.625,1.625,1.65625,1.8125,1.65625,1.703125
5.5,1.75,1.75,1.875,1.875,1.625,1.875,1.84375,1.71875,1.6953125
6.0,1.75,1.75,1.96875,1.875,1.625,1.96875,1.84375,1.78125,1.6875
6.5,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.8359375,1.7421875
7.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.890625,1.796875
7.5,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.921875,1.828125
8.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.953125,1.859375
8.5,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.9375,1.875
9.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.921875,1.890625
9.5,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.921875,1.8671875
10.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.921875,1.84375
10.5,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.84375,1.875
11.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.765625,1.90625
11.5,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.6875,1.9140625
12.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.609375,1.921875
12.5,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.609375,1.921875
13.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.609375,1.921875
14.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.609375,1.921875
15.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.609375,1.921875
16.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.609375,1.921875
17.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.609375,1.921875
18.0,1.75,1.75,1.96875,1.875,1.625,1.8125,1.84375,1.609375,1.921875
