strike,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-16,2021-08-20,2021-09-17,2021-12-17
5.0,1.5,0.625,0.625,1.375,0.875,0.78125,0.8203125,1.046875,0.78125,0.7265625
7.0,1.5,0.625,0.625,1.375,0.875,0.78125,0.8203125,1.046875,0.78125,0.7265625
8.0,1.5,0.625,0.625,1.375,0.875,0.78125,0.8203125,1.046875,0.78125,0.7265625
9.0,1.5,0.625,0.625,1.275,0.875,0.78125,0.8203125,1.046875,0.828125,0.7265625
9.5,1.5,0.625,0.625,1.175,0.875,0.78125,0.8203125,1.046875,0.8125,0.7265625
10.0,1.5,0.625,0.625,1.075,0.875,0.78125,0.8203125,1.046875,0.796875,0.7265625
10.5,1.5,0.625,0.625,0.975,0.875,0.78125,0.8203125,0.9140625,0.78125,0.734375
11.0,1.5,0.625,0.625,0.875,0.875,0.78125,0.8203125,0.78125,0.765625,0.7421875
11.5,1.4375,0.625,0.65625,0.8671875,0.875,0.78125,0.8203125,0.8359375,0.8359375,0.791015625
12.0,1.375,0.625,0.6875,0.859375,0.875,0.78125,0.8203125,0.890625,0.90625,0.83984375
12.5,1.203125,0.96875,0.71875,0.875,0.875,0.78125,0.8203125,0.8828125,0.87109375,0.828125
13.0,1.03125,1.0,0.890625,0.890625,0.875,0.78125,0.8203125,0.875,0.8359375,0.81640625
13.5,0.90625,0.625,0.90625,0.8671875,0.875,0.78125,0.8203125,0.87109375,0.830078125,0.818359375
14.0,0.84375,0.78125,0.921875,0.84375,0.875,0.8125,0.8203125,0.8671875,0.82421875,0.8203125
14.5,0.78125,0.765625,0.796875,0.8359375,0.875,0.8203125,0.8203125,0.875,0.837890625,0.83984375
15.0,0.78125,0.78125,0.8125,0.828125,0.875,0.8828125,0.8203125,0.8828125,0.8515625,0.859375
15.5,0.78125,0.796875,0.8125,0.8359375,0.875,0.859375,0.8203125,0.8828125,0.86328125,0.853515625
16.0,0.828125,0.796875,0.859375,0.84375,0.875,0.890625,0.8203125,0.8828125,0.875,0.84765625
16.5,0.84375,0.8125,0.875,0.859375,0.875,0.875,0.84375,0.87890625,0.86328125,0.828125
17.0,0.90625,0.8125,0.859375,0.875,0.875,0.8671875,0.8671875,0.875,0.8515625,0.80859375
17.5,0.9375,0.84375,0.859375,0.8671875,0.875,0.8828125,0.87890625,0.87890625,0.859375,0.822265625
18.0,0.9375,0.84375,0.859375,0.859375,0.90625,0.8828125,0.890625,0.8828125,0.8671875,0.8359375
18.5,0.9375,0.90625,0.890625,0.88671875,0.875,0.8984375,0.87890625,0.88671875,0.88671875,0.841796875
19.0,1.0,0.9270833333333334,0.875,0.9140625,0.9140625,0.9140625,0.8671875,0.890625,0.90625,0.84765625
19.5,1.0625,0.9479166666666666,0.90625,0.91015625,0.9375,0.921875,0.87890625,0.8984375,0.908203125,0.853515625
20.0,1.1071428571428572,0.96875,0.9375,0.90625,0.96875,0.9453125,0.890625,0.90625,0.91015625,0.859375
20.5,1.1517857142857142,0.9375,0.96875,0.9296875,0.96875,0.974609375,0.90625,0.91015625,0.904296875,0.8671875
21.0,1.1964285714285714,0.96875,0.96875,0.953125,0.96875,1.00390625,0.921875,0.9140625,0.8984375,0.875
21.5,1.2410714285714286,1.125,0.96875,0.9765625,0.984375,1.033203125,0.90625,0.91796875,0.90625,0.87109375
22.0,1.2857142857142858,1.0625,0.96875,1.0,1.046875,1.0625,0.890625,0.921875,0.9140625,0.8671875
22.5,1.3303571428571428,1.0,1.0625,1.015625,1.015625,1.0703125,0.921875,0.9375,0.91796875,0.859375
23.0,1.375,1.0,0.96875,1.03125,1.03125,1.078125,0.953125,0.953125,0.921875,0.8515625
23.5,1.625,1.125,1.09375,1.03125,1.046875,1.0859375,0.95703125,0.94921875,0.93359375,0.8828125
24.0,1.5,1.1666666666666667,1.0625,1.03125,1.0625,1.09375,0.9609375,0.9453125,0.9453125,0.9140625
24.5,1.5,1.2083333333333333,1.515625,1.046875,1.0625,1.1015625,0.97265625,0.9453125,0.953125,0.89453125
25.0,1.625,1.25,1.125,1.0625,1.0625,1.109375,0.984375,0.9453125,0.9609375,0.875
25.5,1.0,1.25,1.125,1.09375,1.09375,1.1171875,1.015625,0.94921875,0.99609375,0.89453125
26.0,1.875,1.25,1.3125,1.125,1.125,1.125,1.046875,0.953125,1.03125,0.9140625
26.5,1.875,1.3125,1.328125,1.1484375,1.140625,1.125,1.03125,0.9609375,0.9921875,0.91328125
27.0,1.75,1.375,1.34375,1.171875,1.15625,1.125,1.015625,0.96875,0.953125,0.9125
28.0,1.75,1.375,1.1875,1.1953125,1.25,1.125,1.015625,0.984375,0.9625,0.91171875
29.0,1.75,1.5,1.25,1.21875,1.2890625,1.125,1.0625,1.0,0.971875,0.9109375
30.0,1.75,1.5,1.375,1.2421875,1.328125,1.125,1.0625,1.015625,0.98125,0.91015625
31.0,1.75,1.5,1.375,1.265625,1.28125,1.125,1.15625,1.015625,0.990625,0.9171875
32.0,1.75,1.75,1.375,1.2890625,1.265625,1.125,1.234375,1.015625,1.0,0.92421875
33.0,1.75,1.75,1.625,1.3125,1.25,1.125,1.21875,1.015625,1.0234375,0.93125
34.0,1.75,1.75,1.75,1.25,1.25,1.125,1.171875,1.015625,1.0859375,0.93828125
35.0,1.75,1.875,1.625,1.375,1.25,1.125,1.171875,1.015625,1.03125,0.9453125
36.0,1.75,1.875,1.875,1.4375,1.25,1.125,1.171875,1.015625,1.046875,0.9453125
37.0,1.75,1.5,1.5,1.4375,1.25,1.125,1.171875,1.015625,1.0625,0.9453125
38.0,1.75,1.5,1.5,1.5,1.25,1.125,1.171875,1.015625,1.0390625,0.9453125
39.0,1.75,1.5,1.5,1.5,1.25,1.125,1.171875,1.015625,1.140625,0.9453125
40.0,1.75,1.5,1.5,1.5,1.25,1.125,1.171875,1.015625,1.046875,0.9453125
41.0,1.75,1.5,1.5,1.625,1.25,1.125,1.171875,1.015625,1.078125,0.9453125
42.0,1.75,1.5,1.5,1.625,1.25,1.125,1.171875,1.015625,1.0703125,0.9453125
43.0,1.75,1.5,1.5,1.5,1.25,1.125,1.171875,1.015625,1.1015625,0.9453125
44.0,1.75,1.5,1.5,1.6875,1.25,1.125,1.171875,1.015625,1.15625,0.9453125
45.0,1.75,1.5,1.5,1.5,1.25,1.125,1.171875,1.015625,1.09375,0.9453125
46.0,1.75,1.5,1.5,1.0,1.25,1.125,1.171875,1.015625,1.125,0.9453125
47.0,1.75,1.5,1.5,1.625,1.25,1.125,1.171875,1.015625,1.15625,0.9453125
48.0,1.75,1.5,1.5,1.75,1.25,1.125,1.171875,1.015625,1.125,0.9453125
49.0,1.75,1.5,1.5,1.875,1.25,1.125,1.171875,1.015625,1.140625,0.9453125
50.0,1.75,1.5,1.5,1.75,1.25,1.125,1.171875,1.015625,1.15625,0.9453125
55.0,1.75,1.5,1.5,1.5,1.25,1.125,1.171875,1.015625,1.21875,0.9453125
60.0,1.75,1.5,1.5,1.9375,1.25,1.125,1.171875,1.015625,1.1875,0.9453125
