contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
AAPL210910C00100000,2021-08-30 15:16:06,1.0,100.0,52.7,54.95,52.15,call,2021-09-10
AAPL210910C00105000,2021-09-03 18:03:58,6.0,105.0,0.0,0.0,49.1,call,2021-09-10
AAPL210910C00110000,2021-09-01 15:06:10,1.0,110.0,42.7,45.2,44.49,call,2021-09-10
AAPL210910C00115000,2021-09-02 18:57:51,103.0,115.0,37.7,40.15,38.5,call,2021-09-10
AAPL210910C00120000,2021-09-03 19:41:16,2.0,120.0,0.0,0.0,34.4,call,2021-09-10
AAPL210910C00125000,2021-09-03 13:56:16,100.0,125.0,0.0,0.0,28.58,call,2021-09-10
AAPL210910C00129000,2021-09-03 18:04:23,46.0,129.0,0.0,0.0,24.95,call,2021-09-10
AAPL210910C00130000,2021-09-03 19:01:46,16.0,130.0,0.0,0.0,24.1,call,2021-09-10
AAPL210910C00131000,2021-09-03 18:04:16,17.0,131.0,0.0,0.0,23.0,call,2021-09-10
AAPL210910C00132000,2021-09-03 19:25:08,31.0,132.0,0.0,0.0,22.35,call,2021-09-10
AAPL210910C00133000,2021-09-03 19:01:46,297.0,133.0,0.0,0.0,21.1,call,2021-09-10
AAPL210910C00134000,2021-09-03 19:58:17,28.0,134.0,0.0,0.0,20.34,call,2021-09-10
AAPL210910C00135000,2021-09-03 19:41:46,164.0,135.0,0.0,0.0,19.45,call,2021-09-10
AAPL210910C00136000,2021-09-03 19:45:59,15.0,136.0,0.0,0.0,18.45,call,2021-09-10
AAPL210910C00137000,2021-09-03 19:51:48,51.0,137.0,0.0,0.0,17.36,call,2021-09-10
AAPL210910C00138000,2021-09-03 19:46:15,343.0,138.0,0.0,0.0,16.42,call,2021-09-10
AAPL210910C00139000,2021-09-03 19:20:37,47.0,139.0,0.0,0.0,15.26,call,2021-09-10
AAPL210910C00140000,2021-09-03 19:39:05,80.0,140.0,0.0,0.0,14.46,call,2021-09-10
AAPL210910C00141000,2021-09-03 19:45:59,140.0,141.0,0.0,0.0,13.5,call,2021-09-10
AAPL210910C00142000,2021-09-03 19:41:31,554.0,142.0,0.0,0.0,12.47,call,2021-09-10
AAPL210910C00146000,2021-09-03 19:56:55,251.0,146.0,0.0,0.0,8.4,call,2021-09-10
AAPL210910C00147000,2021-09-03 19:58:11,955.0,147.0,0.0,0.0,7.45,call,2021-09-10
AAPL210910C00148000,2021-09-03 19:57:44,1335.0,148.0,0.0,0.0,6.5,call,2021-09-10
AAPL210910C00149000,2021-09-03 19:58:15,3673.0,149.0,0.0,0.0,5.6,call,2021-09-10
AAPL210910C00150000,2021-09-03 19:59:58,7494.0,150.0,0.0,0.0,4.65,call,2021-09-10
AAPL210910C00152500,2021-09-03 19:59:56,24850.0,152.5,0.0,0.0,2.73,call,2021-09-10
AAPL210910C00155000,2021-09-03 19:59:58,109252.0,155.0,0.0,0.0,1.24,call,2021-09-10
AAPL210910C00157500,2021-09-03 20:00:00,25459.0,157.5,0.0,0.0,0.53,call,2021-09-10
AAPL210910C00160000,2021-09-03 19:59:59,28428.0,160.0,0.0,0.0,0.2,call,2021-09-10
AAPL210910C00162500,2021-09-03 19:59:56,5269.0,162.5,0.0,0.0,0.08,call,2021-09-10
AAPL210910C00165000,2021-09-03 19:58:25,4221.0,165.0,0.0,0.0,0.04,call,2021-09-10
AAPL210910C00167500,2021-09-03 19:59:58,882.0,167.5,0.0,0.0,0.03,call,2021-09-10
AAPL210910C00170000,2021-09-03 19:57:00,830.0,170.0,0.0,0.0,0.02,call,2021-09-10
AAPL210910C00172500,2021-09-03 19:22:57,1566.0,172.5,0.0,0.0,0.01,call,2021-09-10
