contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
GE210910C00101000,2021-09-03 15:50:43,2.0,101.0,0.0,0.0,3.85,call,2021-09-10
GE210910C00102000,2021-09-03 19:01:14,2.0,102.0,0.0,0.0,3.7,call,2021-09-10
GE210910C00103000,2021-09-03 18:31:42,128.0,103.0,0.0,0.0,2.85,call,2021-09-10
GE210910C00104000,2021-09-03 19:59:33,31.0,104.0,0.0,0.0,1.73,call,2021-09-10
GE210910C00105000,2021-09-03 19:59:04,2200.0,105.0,0.0,0.0,1.18,call,2021-09-10
GE210910C00106000,2021-09-03 19:56:33,728.0,106.0,0.0,0.0,0.76,call,2021-09-10
GE210910C00107000,2021-09-03 19:58:36,1981.0,107.0,0.0,0.0,0.47,call,2021-09-10
GE210910C00108000,2021-09-03 19:58:36,674.0,108.0,0.0,0.0,0.3,call,2021-09-10
GE210910C00109000,2021-09-03 19:55:25,222.0,109.0,0.0,0.0,0.18,call,2021-09-10
GE210910C00110000,2021-09-03 19:42:08,81.0,110.0,0.0,0.0,0.12,call,2021-09-10
GE210910C00111000,2021-09-03 18:22:16,20.0,111.0,0.0,0.0,0.06,call,2021-09-10
GE210910C00112000,2021-09-03 17:35:51,6.0,112.0,0.0,0.0,0.05,call,2021-09-10
GE210910C00113000,2021-09-01 19:25:03,3.0,113.0,0.0,0.55,0.07,call,2021-09-10
GE210910C00114000,2021-09-03 13:40:02,5.0,114.0,0.0,0.0,0.06,call,2021-09-10
GE210910C00115000,2021-09-01 17:06:28,13.0,115.0,0.0,0.51,0.04,call,2021-09-10
GE210910C00116000,2021-08-31 18:54:06,6.0,116.0,0.0,0.5,0.04,call,2021-09-10
GE210910C00117000,2021-08-30 17:45:32,1.0,117.0,0.0,0.49,0.03,call,2021-09-10
GE210910C00118000,2021-08-30 19:38:40,,118.0,0.0,0.02,0.02,call,2021-09-10
GE210910C00120000,2021-08-27 13:41:02,10.0,120.0,0.0,0.48,0.05,call,2021-09-10
GE210910C00125000,2021-08-23 13:30:14,10.0,125.0,0.0,0.09,0.38,call,2021-09-10
GE210910P00098000,2021-09-03 19:26:46,23.0,98.0,0.0,0.0,0.11,put,2021-09-10
GE210910P00099000,2021-09-03 19:38:21,306.0,99.0,0.0,0.0,0.14,put,2021-09-10
GE210910P00100000,2021-09-03 19:43:20,514.0,100.0,0.0,0.0,0.19,put,2021-09-10
GE210910P00101000,2021-09-03 19:58:36,390.0,101.0,0.0,0.0,0.32,put,2021-09-10
GE210910P00102000,2021-09-03 19:59:43,168.0,102.0,0.0,0.0,0.45,put,2021-09-10
GE210910P00103000,2021-09-03 19:59:36,366.0,103.0,0.0,0.0,0.65,put,2021-09-10
GE210910P00104000,2021-09-03 19:47:18,294.0,104.0,0.0,0.0,0.93,put,2021-09-10
GE210910P00105000,2021-09-03 19:59:50,309.0,105.0,0.0,0.0,1.42,put,2021-09-10
GE210910P00106000,2021-09-03 19:37:27,143.0,106.0,0.0,0.0,1.93,put,2021-09-10
GE210910P00107000,2021-09-03 19:57:05,32.0,107.0,0.0,0.0,2.72,put,2021-09-10
GE210910P00108000,2021-09-02 17:30:23,1.0,108.0,3.4,4.35,2.92,put,2021-09-10
GE210910P00109000,2021-09-03 17:10:49,25.0,109.0,0.0,0.0,4.4,put,2021-09-10
GE210910P00110000,2021-09-03 19:58:11,13.0,110.0,0.0,0.0,5.25,put,2021-09-10
GE210910P00111000,2021-08-27 15:46:54,5.0,111.0,4.7,7.3,6.02,put,2021-09-10
GE210910P00112000,2021-08-17 18:48:54,,112.0,5.6,8.2,11.2,put,2021-09-10
GE210910P00115000,2021-08-30 17:48:03,7.0,115.0,8.4,11.35,9.7,put,2021-09-10
GE210917C00012000,2021-07-30 19:21:55,282.0,12.0,1.2,1.33,1.23,call,2021-09-17
GE210917C00013000,2021-07-30 19:58:52,1202.0,13.0,0.59,0.6,0.61,call,2021-09-17
GE210917C00014000,2021-07-30 19:54:38,2082.0,14.0,0.24,0.26,0.25,call,2021-09-17
GE210917C00015000,2021-07-30 19:57:16,2016.0,15.0,0.1,0.11,0.1,call,2021-09-17
GE210917C00016000,2021-07-30 19:11:10,297.0,16.0,0.06,0.07,0.07,call,2021-09-17
GE210917C00017000,2021-07-30 19:30:49,93.0,17.0,0.03,0.04,0.04,call,2021-09-17
GE210917C00018000,2021-07-30 17:41:04,289.0,18.0,0.03,0.04,0.03,call,2021-09-17
GE210917C00019000,2021-07-30 17:31:33,40.0,19.0,0.02,0.03,0.02,call,2021-09-17
GE210917C00020000,2021-07-30 17:04:51,175.0,20.0,0.01,0.02,0.01,call,2021-09-17
GE210917C00021000,2021-07-29 16:40:03,50.0,21.0,0.0,0.02,0.02,call,2021-09-17
GE210917C00022000,2021-07-23 14:37:02,60.0,22.0,0.01,0.05,0.02,call,2021-09-17
GE210917C00023000,2021-07-23 18:42:07,7.0,23.0,0.01,0.04,0.02,call,2021-09-17
GE210917C00024000,2021-07-27 13:37:46,1.0,24.0,0.01,0.17,0.01,call,2021-09-17
GE210917C00025000,2021-07-28 13:30:01,20.0,25.0,0.01,0.06,0.01,call,2021-09-17
GE210917C00026000,2021-07-27 13:41:22,4.0,26.0,0.0,0.07,0.01,call,2021-09-17
GE210917C00027000,2021-07-28 14:55:37,1.0,27.0,0.0,0.02,0.01,call,2021-09-17
GE210917C00075000,2021-08-19 18:26:38,,75.0,28.25,31.4,24.35,call,2021-09-17
GE210917C00080000,2021-08-30 16:06:39,1.0,80.0,24.1,26.15,25.7,call,2021-09-17
GE210917C00085000,2021-08-25 15:24:50,1.0,85.0,18.95,21.5,19.4,call,2021-09-17
