contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
IWM210910C00206000,2021-08-27 14:47:27,10.0,206.0,21.68,21.84,18.86,call,2021-09-10
IWM210910C00207000,2021-09-01 16:38:58,1.0,207.0,20.72,20.85,21.22,call,2021-09-10
IWM210910C00207500,2021-08-20 14:02:31,25.0,207.5,20.23,20.35,8.42,call,2021-09-10
IWM210910C00208000,2021-09-03 19:58:25,1.0,208.0,0.0,0.0,19.99,call,2021-09-10
IWM210910C00209000,2021-09-03 18:34:15,11.0,209.0,0.0,0.0,18.58,call,2021-09-10
IWM210910C00210000,2021-09-03 18:48:30,11.0,210.0,0.0,0.0,17.66,call,2021-09-10
IWM210910C00211000,2021-09-03 17:50:43,11.0,211.0,0.0,0.0,17.16,call,2021-09-10
IWM210910C00212000,2021-09-03 18:21:32,11.0,212.0,0.0,0.0,15.93,call,2021-09-10
IWM210910C00212500,2021-09-03 18:25:05,6.0,212.5,0.0,0.0,15.28,call,2021-09-10
IWM210910C00213000,2021-08-27 14:35:32,2.0,213.0,14.77,14.89,11.61,call,2021-09-10
IWM210910C00214000,2021-09-03 16:00:25,3.0,214.0,0.0,0.0,13.62,call,2021-09-10
IWM210910C00215000,2021-09-03 19:51:04,77.0,215.0,0.0,0.0,13.09,call,2021-09-10
IWM210910C00216000,2021-09-03 20:05:26,2.0,216.0,0.0,0.0,11.9,call,2021-09-10
IWM210910C00217000,2021-09-03 19:56:54,69.0,217.0,0.0,0.0,11.08,call,2021-09-10
IWM210910C00217500,2021-09-03 18:42:27,12.0,217.5,0.0,0.0,10.3,call,2021-09-10
IWM210910C00218000,2021-09-03 14:24:22,12.0,218.0,0.0,0.0,10.6,call,2021-09-10
IWM210910C00219000,2021-09-03 19:59:58,32.0,219.0,0.0,0.0,9.19,call,2021-09-10
IWM210910C00220000,2021-09-03 19:58:37,307.0,220.0,0.0,0.0,8.25,call,2021-09-10
IWM210910C00221000,2021-09-03 19:58:37,67.0,221.0,0.0,0.0,7.29,call,2021-09-10
IWM210910C00222000,2021-09-03 20:12:05,313.0,222.0,0.0,0.0,6.18,call,2021-09-10
IWM210910C00238000,2021-09-03 19:57:03,56.0,238.0,0.0,0.0,0.04,call,2021-09-10
IWM210910C00239000,2021-09-03 19:50:06,214.0,239.0,0.0,0.0,0.04,call,2021-09-10
IWM210910C00240000,2021-09-03 20:06:36,647.0,240.0,0.0,0.0,0.03,call,2021-09-10
IWM210910C00241000,2021-09-03 19:58:40,86.0,241.0,0.0,0.0,0.03,call,2021-09-10
IWM210910C00242000,2021-09-03 20:14:08,86.0,242.0,0.0,0.0,0.02,call,2021-09-10
IWM210910C00242500,2021-09-03 18:40:14,2.0,242.5,0.0,0.0,0.03,call,2021-09-10
IWM210910C00243000,2021-09-02 13:59:58,3.0,243.0,0.01,0.04,0.06,call,2021-09-10
IWM210910C00244000,2021-09-03 20:13:06,21.0,244.0,0.0,0.0,0.02,call,2021-09-10
IWM210910C00245000,2021-09-03 20:14:52,22.0,245.0,0.0,0.0,0.01,call,2021-09-10
IWM210910C00246000,2021-09-03 13:52:57,533.0,246.0,0.0,0.0,0.03,call,2021-09-10
