contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
NXTD210917C00000500,2021-09-03 19:00:08,190.0,0.5,0.0,0.0,0.25,call,2021-09-17
NXTD210917C00001000,2021-09-03 19:59:15,1487.0,1.0,0.0,0.0,0.05,call,2021-09-17
NXTD210917C00001500,2021-09-03 14:47:58,13.0,1.5,0.0,0.0,0.04,call,2021-09-17
NXTD210917C00002000,2021-09-03 15:23:08,20.0,2.0,0.0,0.0,0.05,call,2021-09-17
NXTD210917C00002500,2021-08-31 13:30:03,1.0,2.5,0.0,0.05,0.05,call,2021-09-17
NXTD210917P00000500,2021-08-20 13:47:42,10.0,0.5,0.0,0.05,0.05,put,2021-09-17
NXTD210917P00001000,2021-09-03 19:59:39,38.0,1.0,0.0,0.0,0.3,put,2021-09-17
NXTD210917P00001500,2021-08-25 21:24:13,3.0,1.5,0.75,0.9,0.8,put,2021-09-17
NXTD210917P00002000,2021-08-24 18:38:52,,2.0,1.15,1.4,1.35,put,2021-09-17
NXTD211015C00000500,2021-09-03 17:52:31,79.0,0.5,0.0,0.0,0.27,call,2021-10-15
NXTD211015C00001000,2021-09-03 19:14:10,183.0,1.0,0.0,0.0,0.1,call,2021-10-15
NXTD211015C00001500,2021-09-03 18:44:11,110.0,1.5,0.0,0.0,0.08,call,2021-10-15
NXTD211015C00002000,2021-09-03 19:26:13,20.0,2.0,0.0,0.0,0.05,call,2021-10-15
NXTD211015C00002500,2021-09-03 15:30:39,2.0,2.5,0.0,0.0,0.05,call,2021-10-15
NXTD211015P00000500,2021-09-03 13:30:00,19.0,0.5,0.0,0.0,0.05,put,2021-10-15
NXTD211015P00001000,2021-09-02 19:27:54,1.0,1.0,0.35,0.45,0.4,put,2021-10-15
NXTD211015P00001500,2021-08-16 13:30:07,1.0,1.5,0.8,0.95,0.8,put,2021-10-15
NXTD211015P00002000,2021-08-27 15:02:55,6905.0,2.0,0.95,1.5,1.4,put,2021-10-15
NXTD211015P00002500,2021-08-18 15:13:48,2.0,2.5,1.45,2.2,1.87,put,2021-10-15
NXTD220121C00000500,2021-09-03 19:57:43,29.0,0.5,0.0,0.0,0.38,call,2022-01-21
NXTD220121C00001000,2021-09-03 18:23:32,127.0,1.0,0.0,0.0,0.23,call,2022-01-21
NXTD220121C00001500,2021-09-03 19:24:58,22.0,1.5,0.0,0.0,0.18,call,2022-01-21
NXTD220121C00002000,2021-09-02 16:31:35,10.0,2.0,0.1,0.2,0.15,call,2022-01-21
NXTD220121C00002500,2021-08-31 19:29:44,4.0,2.5,0.05,0.2,0.11,call,2022-01-21
NXTD220121P00000500,2021-09-01 19:52:56,5.0,0.5,0.05,0.2,0.1,put,2022-01-21
NXTD220121P00001000,2021-09-03 15:16:15,30.0,1.0,0.0,0.0,0.5,put,2022-01-21
NXTD220121P00001500,2021-08-25 15:33:06,1.0,1.5,0.9,1.0,0.9,put,2022-01-21
NXTD220121P00002500,2021-08-18 15:13:48,1.0,2.5,1.75,2.05,1.92,put,2022-01-21
NXTD220414C00000500,2021-09-03 17:32:05,35.0,0.5,0.0,0.0,0.4,call,2022-04-14
NXTD220414C00001000,2021-09-03 19:37:43,51.0,1.0,0.0,0.0,0.35,call,2022-04-14
NXTD220414C00001500,2021-09-03 19:37:43,1.0,1.5,0.0,0.0,0.19,call,2022-04-14
NXTD220414P00001000,2021-09-03 14:09:40,1.0,1.0,0.0,0.0,0.64,put,2022-04-14
