contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
SPY210907C00421000,2021-09-02 13:31:27,20.0,421.0,31.82,32.23,32.46,call,2021-09-07
SPY210907C00423000,2021-09-02 15:03:26,1.0,423.0,29.82,30.23,30.55,call,2021-09-07
SPY210907C00424000,2021-09-03 19:52:13,5.0,424.0,0.0,0.0,29.2,call,2021-09-07
SPY210907C00425000,2021-09-03 19:43:38,17.0,425.0,0.0,0.0,28.17,call,2021-09-07
SPY210907C00426000,2021-09-03 19:46:00,55.0,426.0,0.0,0.0,27.27,call,2021-09-07
SPY210907C00427000,2021-09-03 19:46:10,1.0,427.0,0.0,0.0,26.23,call,2021-09-07
SPY210907C00428000,2021-09-03 15:13:00,2.0,428.0,0.0,0.0,25.0,call,2021-09-07
SPY210907C00429000,2021-08-26 13:52:33,1.0,429.0,23.83,24.24,20.06,call,2021-09-07
SPY210907C00430000,2021-09-03 19:18:33,13.0,430.0,0.0,0.0,23.54,call,2021-09-07
SPY210907C00431000,2021-09-01 20:05:05,2.0,431.0,21.84,22.21,21.03,call,2021-09-07
SPY210907C00432000,2021-09-03 19:38:37,53.0,432.0,0.0,0.0,21.34,call,2021-09-07
SPY210907C00433000,2021-09-03 19:57:22,5.0,433.0,0.0,0.0,19.94,call,2021-09-07
SPY210907C00434000,2021-09-03 20:13:38,7.0,434.0,0.0,0.0,19.06,call,2021-09-07
SPY210907C00435000,2021-09-03 19:45:03,73.0,435.0,0.0,0.0,18.12,call,2021-09-07
SPY210907C00436000,2021-09-03 19:53:49,68.0,436.0,0.0,0.0,17.24,call,2021-09-07
SPY210907C00437000,2021-09-03 19:42:57,28.0,437.0,0.0,0.0,16.16,call,2021-09-07
SPY210907C00438000,2021-09-03 19:56:14,94.0,438.0,0.0,0.0,14.95,call,2021-09-07
SPY210907C00439000,2021-09-03 19:56:28,22.0,439.0,0.0,0.0,13.94,call,2021-09-07
SPY210907C00440000,2021-09-03 19:57:22,172.0,440.0,0.0,0.0,12.95,call,2021-09-07
SPY210907C00441000,2021-09-03 20:13:38,309.0,441.0,0.0,0.0,12.07,call,2021-09-07
SPY210907C00469000,2021-09-02 14:10:53,3.0,469.0,0.0,0.01,0.01,call,2021-09-07
