contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
UAMY210917C00000500,2021-09-02 17:15:05,10.0,0.5,0.45,0.7,0.45,call,2021-09-17
UAMY210917C00001000,2021-09-03 18:16:41,104.0,1.0,0.0,0.0,0.05,call,2021-09-17
UAMY210917C00001500,2021-08-31 17:13:50,2.0,1.5,0.0,0.05,0.03,call,2021-09-17
UAMY210917C00002000,2021-08-30 13:38:07,1.0,2.0,0.0,0.05,0.05,call,2021-09-17
UAMY210917P00000500,2021-08-31 17:13:50,,0.5,0.0,0.05,0.03,put,2021-09-17
UAMY210917P00001000,2021-09-03 13:54:52,2.0,1.0,0.0,0.0,0.06,put,2021-09-17
UAMY210917P00001500,2021-09-02 14:21:29,51.0,1.5,0.15,0.7,0.55,put,2021-09-17
UAMY210917P00002000,2021-09-01 19:24:08,13.0,2.0,0.65,1.55,1.05,put,2021-09-17
UAMY211015C00000500,2021-09-03 15:59:32,1.0,0.5,0.0,0.0,0.6,call,2021-10-15
UAMY211015C00001000,2021-09-03 18:43:29,12.0,1.0,0.0,0.0,0.1,call,2021-10-15
UAMY211015C00001500,2021-09-02 19:23:32,30.0,1.5,0.0,0.05,0.05,call,2021-10-15
UAMY211015P00001000,2021-09-03 19:49:53,21.0,1.0,0.0,0.0,0.15,put,2021-10-15
UAMY211119C00000500,2021-09-03 19:57:34,4.0,0.5,0.0,0.0,0.4,call,2021-11-19
UAMY211119C00001000,2021-09-03 18:18:47,1.0,1.0,0.0,0.0,0.15,call,2021-11-19
UAMY211119C00001500,2021-09-03 18:14:17,34.0,1.5,0.0,0.0,0.07,call,2021-11-19
UAMY211119C00002000,2021-09-01 17:00:16,19.0,2.0,0.0,0.1,0.05,call,2021-11-19
UAMY211119C00002500,2021-09-02 16:29:46,1.0,2.5,0.0,0.05,0.05,call,2021-11-19
UAMY211119P00000500,2021-08-25 21:24:14,10.0,0.5,0.0,0.1,0.05,put,2021-11-19
UAMY211119P00001000,2021-09-01 18:28:38,1.0,1.0,0.2,0.25,0.25,put,2021-11-19
UAMY211119P00001500,2021-08-25 21:24:14,1.0,1.5,0.25,0.8,0.65,put,2021-11-19
UAMY211119P00002000,2021-09-01 16:47:35,,2.0,0.7,1.7,1.04,put,2021-11-19
UAMY211119P00002500,2021-08-17 18:12:23,3.0,2.5,1.4,1.7,1.62,put,2021-11-19
UAMY220218C00000500,2021-09-03 15:27:04,2.0,0.5,0.0,0.0,0.5,call,2022-02-18
UAMY220218C00001000,2021-09-03 19:08:59,26.0,1.0,0.0,0.0,0.25,call,2022-02-18
UAMY220218C00001500,2021-09-03 14:00:08,1.0,1.5,0.0,0.0,0.2,call,2022-02-18
UAMY220218C00002000,2021-09-03 15:29:20,7.0,2.0,0.0,0.0,0.15,call,2022-02-18
UAMY220218P00000500,2021-09-02 19:14:16,15.0,0.5,0.05,0.1,0.09,put,2022-02-18
UAMY220218P00001000,2021-09-03 16:49:46,9.0,1.0,0.0,0.0,0.33,put,2022-02-18
UAMY220218P00001500,2021-08-18 15:30:21,3.0,1.5,0.2,0.95,0.87,put,2022-02-18
UAMY220218P00002000,2021-08-27 18:35:36,4.0,2.0,0.55,1.65,1.1,put,2022-02-18
