contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
BAC250829C00044500,2025-08-27 16:27:05+00:00,15.0,44.5,0.0,0.0,5.8,call,2025-08-29
BAC250829C00045000,2025-08-27 18:51:55+00:00,26.0,45.0,0.0,0.0,5.46,call,2025-08-29
BAC250829C00045500,2025-08-25 15:11:58+00:00,2.0,45.5,0.0,0.0,4.0,call,2025-08-29
BAC250829C00046000,2025-08-27 19:00:09+00:00,276.0,46.0,0.0,0.0,4.4,call,2025-08-29
BAC250829C00046500,2025-08-27 19:57:19+00:00,107.0,46.5,0.0,0.0,3.96,call,2025-08-29
BAC250829C00047000,2025-08-27 18:58:15+00:00,123.0,47.0,0.0,0.0,3.35,call,2025-08-29
BAC250829C00047500,2025-08-27 18:25:11+00:00,16.0,47.5,0.0,0.0,2.93,call,2025-08-29
BAC250829C00048000,2025-08-27 19:52:36+00:00,366.0,48.0,0.0,0.0,2.43,call,2025-08-29
BAC250829C00048500,2025-08-27 19:56:24+00:00,626.0,48.5,0.0,0.0,1.98,call,2025-08-29
BAC250829C00049000,2025-08-27 19:51:56+00:00,962.0,49.0,0.0,0.0,1.47,call,2025-08-29
BAC250829C00049500,2025-08-27 19:56:30+00:00,1625.0,49.5,0.0,0.0,1.07,call,2025-08-29
BAC250829C00050000,2025-08-27 19:59:46+00:00,11938.0,50.0,0.0,0.0,0.62,call,2025-08-29
BAC250829C00051000,2025-08-27 19:59:55+00:00,7486.0,51.0,0.0,0.0,0.15,call,2025-08-29
BAC250829C00052000,2025-08-27 19:56:59+00:00,2098.0,52.0,0.0,0.0,0.03,call,2025-08-29
BAC250829C00053000,2025-08-27 19:49:22+00:00,34.0,53.0,0.0,0.0,0.01,call,2025-08-29
BAC250829C00054000,2025-08-27 18:25:10+00:00,34.0,54.0,0.0,0.0,0.01,call,2025-08-29
BAC250829C00055000,2025-08-27 17:59:53+00:00,29.0,55.0,0.0,0.0,0.01,call,2025-08-29
BAC250829C00056000,2025-08-25 18:14:50+00:00,2.0,56.0,0.0,0.0,0.01,call,2025-08-29
BAC250829C00057000,2025-08-26 16:36:18+00:00,11.0,57.0,0.0,0.0,0.01,call,2025-08-29
BAC250829C00058000,2025-08-22 17:01:25+00:00,6.0,58.0,0.0,0.0,0.01,call,2025-08-29
BAC250829P00043500,2025-08-25 19:58:19+00:00,236.0,43.5,0.0,0.0,0.01,put,2025-08-29
BAC250829P00044000,2025-08-27 16:38:52+00:00,1.0,44.0,0.0,0.0,0.01,put,2025-08-29
BAC250829P00044500,2025-08-26 15:14:18+00:00,3.0,44.5,0.0,0.0,0.01,put,2025-08-29
BAC250829P00045000,2025-08-27 15:54:15+00:00,1.0,45.0,0.0,0.0,0.01,put,2025-08-29
BAC250829P00045500,2025-08-27 13:51:42+00:00,5.0,45.5,0.0,0.0,0.01,put,2025-08-29
BAC250829P00046000,2025-08-27 18:57:48+00:00,398.0,46.0,0.0,0.0,0.01,put,2025-08-29
BAC250829P00046500,2025-08-27 15:07:59+00:00,142.0,46.5,0.0,0.0,0.01,put,2025-08-29
BAC250829P00047000,2025-08-27 19:45:22+00:00,521.0,47.0,0.0,0.0,0.02,put,2025-08-29
BAC250829P00047500,2025-08-27 19:54:32+00:00,297.0,47.5,0.0,0.0,0.01,put,2025-08-29
BAC250829P00048000,2025-08-27 19:54:42+00:00,569.0,48.0,0.0,0.0,0.03,put,2025-08-29
BAC250829P00048500,2025-08-27 19:58:54+00:00,1829.0,48.5,0.0,0.0,0.03,put,2025-08-29
