contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
USB250829C00037000,2025-08-21 13:53:41+00:00,,37.0,0.0,0.0,9.45,call,2025-08-29
USB250829C00038000,2025-08-27 15:56:23+00:00,88.0,38.0,0.0,0.0,10.75,call,2025-08-29
USB250829C00042000,2025-08-22 15:03:13+00:00,1.0,42.0,0.0,0.0,5.65,call,2025-08-29
USB250829C00042500,2025-08-22 15:46:52+00:00,1.0,42.5,0.0,0.0,5.76,call,2025-08-29
USB250829C00043000,2025-08-26 14:33:31+00:00,4.0,43.0,0.0,0.0,5.1,call,2025-08-29
USB250829C00043500,2025-08-15 16:52:08+00:00,,43.5,0.0,0.0,2.97,call,2025-08-29
USB250829C00044000,2025-08-22 15:58:02+00:00,1.0,44.0,0.0,0.0,4.18,call,2025-08-29
USB250829C00044500,2025-08-22 19:01:03+00:00,5.0,44.5,0.0,0.0,3.84,call,2025-08-29
USB250829C00045000,2025-08-26 15:12:41+00:00,10.0,45.0,0.0,0.0,3.15,call,2025-08-29
USB250829C00045500,2025-08-25 17:40:23+00:00,1.0,45.5,0.0,0.0,2.56,call,2025-08-29
USB250829C00046000,2025-08-27 18:18:35+00:00,4.0,46.0,0.0,0.0,2.94,call,2025-08-29
USB250829C00046500,2025-08-27 14:56:01+00:00,2.0,46.5,0.0,0.0,2.15,call,2025-08-29
USB250829C00047000,2025-08-27 18:36:31+00:00,5.0,47.0,0.0,0.0,1.82,call,2025-08-29
USB250829C00047500,2025-08-27 13:37:25+00:00,3.0,47.5,0.0,0.0,1.23,call,2025-08-29
USB250829C00048000,2025-08-27 14:02:31+00:00,57.0,48.0,0.0,0.0,0.85,call,2025-08-29
USB250829C00048500,2025-08-27 19:14:30+00:00,32.0,48.5,0.0,0.0,0.5,call,2025-08-29
USB250829C00049000,2025-08-27 19:55:49+00:00,208.0,49.0,0.0,0.0,0.24,call,2025-08-29
USB250829C00049500,2025-08-27 19:59:55+00:00,10839.0,49.5,0.0,0.0,0.08,call,2025-08-29
USB250829C00050000,2025-08-27 15:17:35+00:00,84.0,50.0,0.0,0.0,0.06,call,2025-08-29
USB250829C00051000,2025-08-20 19:47:15+00:00,,51.0,0.0,0.0,0.01,call,2025-08-29
USB250829P00037000,2025-08-26 14:51:34+00:00,1.0,37.0,0.0,0.0,0.21,put,2025-08-29
USB250829P00038000,2025-08-26 14:51:34+00:00,1.0,38.0,0.0,0.0,0.39,put,2025-08-29
USB250829P00039000,2025-08-25 19:26:18+00:00,1.0,39.0,0.0,0.0,0.35,put,2025-08-29
USB250829P00039500,2025-08-22 19:16:12+00:00,1.0,39.5,0.0,0.0,0.23,put,2025-08-29
USB250829P00040000,2025-08-26 19:27:23+00:00,1.0,40.0,0.0,0.0,0.37,put,2025-08-29
USB250829P00040500,2025-08-26 19:27:23+00:00,1.0,40.5,0.0,0.0,0.54,put,2025-08-29
USB250829P00041000,2025-08-21 16:59:58+00:00,342.0,41.0,0.0,0.0,0.03,put,2025-08-29
USB250829P00042000,2025-08-25 18:32:07+00:00,3.0,42.0,0.0,0.0,0.11,put,2025-08-29
USB250829P00042500,2025-08-26 14:54:43+00:00,1.0,42.5,0.0,0.0,0.3,put,2025-08-29
USB250829P00043000,2025-08-26 14:54:43+00:00,1.0,43.0,0.0,0.0,0.49,put,2025-08-29
USB250829P00043500,2025-08-22 14:27:29+00:00,25.0,43.5,0.0,0.0,0.02,put,2025-08-29
USB250829P00044000,2025-08-26 17:21:54+00:00,1.0,44.0,0.0,0.0,0.02,put,2025-08-29
USB250829P00044500,2025-08-27 16:24:15+00:00,6.0,44.5,0.0,0.0,0.03,put,2025-08-29
USB250829P00045000,2025-08-26 16:24:10+00:00,3.0,45.0,0.0,0.0,0.02,put,2025-08-29
USB250829P00045500,2025-08-27 14:25:18+00:00,4.0,45.5,0.0,0.0,0.03,put,2025-08-29
USB250829P00046000,2025-08-27 14:20:51+00:00,1.0,46.0,0.0,0.0,0.02,put,2025-08-29
USB250829P00046500,2025-08-27 15:45:17+00:00,1.0,46.5,0.0,0.0,0.03,put,2025-08-29
USB250829P00047000,2025-08-27 18:49:39+00:00,1.0,47.0,0.0,0.0,0.02,put,2025-08-29
USB250829P00047500,2025-08-27 19:15:22+00:00,4.0,47.5,0.0,0.0,0.04,put,2025-08-29
USB250829P00048000,2025-08-27 19:45:20+00:00,8.0,48.0,0.0,0.0,0.08,put,2025-08-29
USB250829P00048500,2025-08-27 15:57:26+00:00,37.0,48.5,0.0,0.0,0.24,put,2025-08-29
USB250905C00035000,2025-08-27 15:40:44+00:00,20.0,35.0,0.0,0.0,13.8,call,2025-09-05
USB250905C00040000,2025-07-29 16:45:30+00:00,,40.0,0.0,0.0,6.38,call,2025-09-05
USB250905C00042000,2025-08-04 16:07:27+00:00,,42.0,0.0,0.0,2.95,call,2025-09-05
USB250905C00043000,2025-07-30 14:08:54+00:00,,43.0,0.0,0.0,3.62,call,2025-09-05
USB250905C00043500,2025-08-18 15:22:02+00:00,,43.5,0.0,0.0,2.75,call,2025-09-05
USB250905C00044000,2025-08-26 14:33:31+00:00,4.0,44.0,0.0,0.0,4.2,call,2025-09-05
USB250905C00044500,2025-08-19 16:56:31+00:00,,44.5,0.0,0.0,2.08,call,2025-09-05
USB250905C00045000,2025-08-27 15:53:03+00:00,2.0,45.0,0.0,0.0,3.85,call,2025-09-05
USB250905C00045500,2025-08-25 18:02:15+00:00,12.0,45.5,0.0,0.0,2.74,call,2025-09-05
USB250905C00046000,2025-08-27 17:30:49+00:00,7.0,46.0,0.0,0.0,2.95,call,2025-09-05
USB250905C00046500,2025-08-25 17:37:53+00:00,1.0,46.5,0.0,0.0,1.81,call,2025-09-05
USB250905C00047000,2025-08-27 17:57:20+00:00,1.0,47.0,0.0,0.0,2.02,call,2025-09-05
USB250905C00047500,2025-08-25 17:04:53+00:00,15.0,47.5,0.0,0.0,1.01,call,2025-09-05
USB250905C00048000,2025-08-27 17:14:30+00:00,226.0,48.0,0.0,0.0,1.19,call,2025-09-05
USB250905C00048500,2025-08-27 17:58:04+00:00,5.0,48.5,0.0,0.0,0.83,call,2025-09-05
USB250905C00049000,2025-08-27 18:14:48+00:00,12.0,49.0,0.0,0.0,0.58,call,2025-09-05
USB250905C00049500,2025-08-27 16:00:00+00:00,126.0,49.5,0.0,0.0,0.3,call,2025-09-05
USB250905C00050000,2025-08-27 17:53:51+00:00,16.0,50.0,0.0,0.0,0.19,call,2025-09-05
USB250905C00051000,2025-08-22 19:40:37+00:00,30.0,51.0,0.0,0.0,0.04,call,2025-09-05
USB250905P00037000,2025-08-12 14:43:29+00:00,2.0,37.0,0.0,0.0,0.06,put,2025-09-05
USB250905P00038000,2025-08-20 16:56:32+00:00,,38.0,0.0,0.0,0.01,put,2025-09-05
USB250905P00039000,2025-08-25 14:52:37+00:00,5.0,39.0,0.0,0.0,0.03,put,2025-09-05
USB250905P00040000,2025-08-22 14:14:02+00:00,1.0,40.0,0.0,0.0,0.05,put,2025-09-05
USB250905P00041000,2025-08-22 16:57:01+00:00,2.0,41.0,0.0,0.0,0.04,put,2025-09-05
USB250905P00041500,2025-08-25 14:43:20+00:00,8.0,41.5,0.0,0.0,0.3,put,2025-09-05
USB250905P00042000,2025-08-27 16:25:23+00:00,14.0,42.0,0.0,0.0,0.06,put,2025-09-05
USB250905P00043000,2025-08-18 15:46:37+00:00,2.0,43.0,0.0,0.0,0.15,put,2025-09-05
USB250905P00043500,2025-08-21 15:11:16+00:00,,43.5,0.0,0.0,0.16,put,2025-09-05
USB250905P00044000,2025-08-20 14:40:47+00:00,2.0,44.0,0.0,0.0,0.24,put,2025-09-05
USB250905P00044500,2025-08-27 18:16:01+00:00,156.0,44.5,0.0,0.0,0.01,put,2025-09-05
USB250905P00045000,2025-08-26 13:30:02+00:00,1.0,45.0,0.0,0.0,0.07,put,2025-09-05
USB250905P00045500,2025-08-21 14:27:28+00:00,,45.5,0.0,0.0,0.48,put,2025-09-05
USB250905P00046000,2025-08-27 15:46:17+00:00,1.0,46.0,0.0,0.0,0.08,put,2025-09-05
USB250905P00046500,2025-08-21 14:31:06+00:00,,46.5,0.0,0.0,0.9,put,2025-09-05
USB250905P00047000,2025-08-26 17:22:20+00:00,20.0,47.0,0.0,0.0,0.18,put,2025-09-05
USB250905P00047500,2025-08-27 15:40:44+00:00,43.0,47.5,0.0,0.0,0.2,put,2025-09-05
USB250905P00048000,2025-08-27 16:57:17+00:00,5.0,48.0,0.0,0.0,0.31,put,2025-09-05
USB250905P00048500,2025-08-27 19:00:48+00:00,18.0,48.5,0.0,0.0,0.44,put,2025-09-05
USB250905P00049000,2025-08-27 18:10:25+00:00,10.0,49.0,0.0,0.0,0.65,put,2025-09-05
USB250912C00041000,2025-08-12 14:48:36+00:00,,41.0,0.0,0.0,4.65,call,2025-09-12
USB250912C00043000,2025-08-20 17:35:39+00:00,1.0,43.0,0.0,0.0,3.6,call,2025-09-12
USB250912C00044000,2025-08-20 19:21:18+00:00,1.0,44.0,0.0,0.0,2.81,call,2025-09-12
