Date,AAPL,BAC,C,DT,GE,HEXO,IWM,JPM,MS,MSFT,NXTD,PLUG,SPY,TD,TLRY,TSLA,UAMY,USB,UVXY,XLE,XLV
2025-07-28,213.81,48.23,94.93,54.71,270.61,,224.12,298.28,141.58,511.66,,1.77,636.94,74.11,0.7,325.59,3.34,46.09,14.79,88.09,135.29
2025-07-29,211.03,47.95,93.86,54.62,270.31,,222.69,297.04,142.57,511.73,,1.59,635.26,73.51,0.58,321.2,3.07,46.09,15.3,88.95,134.43
2025-07-30,208.81,47.96,95.18,53.92,273.55,,221.56,299.63,143.94,512.4,,1.55,634.46,73.56,0.61,319.04,2.92,45.88,15.42,87.68,134.19
2025-07-31,207.33,47.27,93.09,52.61,271.08,,219.39,296.24,142.46,532.62,,1.5,632.08,72.88,0.58,308.27,3.06,44.96,15.44,87.21,130.43
2025-08-01,202.15,45.66,91.23,50.51,269.38,,214.92,289.37,139.09,523.25,,1.4,621.72,72.55,0.57,302.63,2.96,43.94,17.39,85.59,131.13
2025-08-04,203.12,45.85,92.08,51.61,276.23,,219.73,294.26,141.36,534.76,,1.45,631.17,73.48,0.61,309.26,3.55,44.42,15.6,85.4,133.01
2025-08-05,202.69,45.56,91.52,50.53,272.12,,220.85,291.37,140.46,526.88,,1.54,627.97,72.98,0.64,308.72,3.44,44.56,15.86,85.51,132.5
2025-08-06,213.01,45.42,92.23,50.53,272.28,,220.56,291.35,141.3,524.08,,1.46,632.78,73.44,0.62,319.91,3.4,44.44,15.08,84.72,130.51
2025-08-07,219.78,44.92,91.23,46.87,272.02,,219.84,286.94,140.92,519.99,,1.51,632.25,72.88,0.65,322.27,3.52,44.09,15.24,84.39,129.01
2025-08-08,229.09,46.01,92.73,46.24,275.01,,220.32,288.76,143.18,521.18,,1.51,637.18,73.25,0.65,329.65,3.64,44.86,14.49,84.93,130.16
2025-08-11,227.18,46.16,92.31,46.04,275.2,,220.27,289.56,143.88,520.91,,1.58,635.92,73.08,0.92,339.03,3.79,44.56,14.56,84.25,130.29
2025-08-12,229.65,47.5,95.74,46.74,279.63,,226.81,292.85,147.29,528.37,,1.54,642.69,73.21,0.95,340.84,3.82,45.77,13.66,84.66,131.19
2025-08-13,233.33,47.24,94.65,47.8,268.86,,231.22,290.53,147.76,519.73,,1.66,644.89,74.48,1.25,339.38,4.01,46.61,13.5,85.64,133.29
2025-08-14,232.78,47.71,95.46,47.42,269.7,,228.24,294.16,148.51,521.62,,1.65,644.95,74.52,1.18,335.58,4.13,46.83,13.59,85.56,133.96
2025-08-15,231.59,46.94,93.69,48.24,267.85,,227.13,290.49,144.63,519.32,,1.7,643.44,74.01,1.03,330.56,4.27,45.93,13.52,85.56,136.21
2025-08-18,230.89,47.92,94.22,48.84,268.45,,227.96,291.53,144.78,516.25,,1.66,643.3,73.91,1.14,335.16,4.49,46.11,13.02,85.05,135.89
2025-08-19,230.56,48.08,93.74,49.12,265.93,,226.21,290.66,144.07,508.93,,1.58,639.81,73.31,1.06,329.31,4.26,46.21,13.39,85.08,136.76
2025-08-20,226.01,48.35,93.17,48.66,266.44,,225.41,292.24,144.12,504.89,,1.56,638.11,73.71,1.06,323.9,4.4,46.41,13.34,85.79,137.5
2025-08-21,224.9,48.26,92.59,48.81,268.71,,225.97,291.47,144.04,504.24,,1.54,635.55,73.64,1.11,320.11,4.54,46.17,13.61,86.38,137.04
2025-08-22,227.76,49.48,95.26,49.4,266.53,,234.83,296.24,148.02,507.23,,1.68,645.31,74.38,1.15,340.01,4.72,48.28,11.91,88.14,138.17
2025-08-25,227.16,49.48,95.0,48.41,266.61,,232.36,294.9,147.65,504.26,,1.67,642.47,73.76,1.39,346.6,4.82,48.16,11.99,88.37,136.2
2025-08-26,229.31,50.25,95.72,48.11,273.94,,234.28,298.57,148.97,502.04,,1.65,645.16,75.24,1.45,351.67,4.94,48.57,11.85,88.23,137.05
2025-08-27,230.49,50.38,96.87,50.12,273.35,,235.94,299.28,149.38,506.74,,1.62,646.63,76.14,1.37,349.6,4.59,48.76,11.9,89.22,136.97
