Date,^FVX,^IRX,^TNX,^TYX
1960-01-04,,4.52,,
1960-01-05,,4.55,,
1960-01-06,,4.68,,
1960-01-07,,4.63,,
1960-01-08,,4.59,,
1960-01-11,,4.54,,
1960-01-13,,4.56,,
1960-01-14,,4.51,,
1960-01-15,,4.49,,
1960-01-18,,4.37,,
1960-01-19,,4.31,,
1960-01-20,,4.3,,
1960-01-21,,4.27,,
1960-01-22,,4.12,,
1960-01-26,,4.04,,
1960-01-27,,3.99,,
1960-01-28,,3.92,,
1960-02-01,,4.0,,
1960-02-02,,3.96,,
1960-02-04,,3.95,,
1960-02-05,,3.8,,
1960-02-08,,3.55,,
1960-02-09,,3.58,,
1960-02-10,,3.7,,
1960-02-11,,3.85,,
1960-02-17,,4.07,,
1960-02-19,,4.08,,
1960-02-23,,4.06,,
1960-02-24,,4.13,,
1960-02-25,,4.17,,
1960-02-26,,4.19,,
1960-03-01,,4.09,,
1960-03-02,,3.98,,
1960-03-04,,3.64,,
1960-03-07,,3.54,,
1960-03-08,,3.56,,
1960-03-10,,3.66,,
1960-03-11,,3.59,,
1960-03-14,,3.44,,
1960-03-15,,3.46,,
1960-03-16,,3.43,,
1960-03-18,,3.3,,
1960-03-21,,3.05,,
1960-03-22,,2.9,,
1960-03-23,,2.77,,
1960-03-24,,2.82,,
1960-03-25,,2.68,,
1960-03-28,,2.78,,
1960-03-29,,2.83,,
1960-03-30,,2.92,,
1960-03-31,,3.02,,
1960-04-01,,2.84,,
1960-04-04,,2.72,,
1960-04-05,,2.8,,
1960-04-12,,3.6,,
1960-04-13,,3.57,,
1960-04-14,,3.52,,
1960-04-18,,3.28,,
1960-04-19,,3.34,,
1960-04-21,,3.35,,
1960-04-22,,3.37,,
1960-04-25,,3.26,,
1960-04-26,,3.25,,
1960-04-28,,3.16,,
1960-04-29,,3.04,,
1960-05-02,,3.03,,
1960-05-03,,3.14,,
1960-05-04,,3.12,,
1960-05-05,,3.09,,
1960-05-09,,3.22,,
1960-05-11,,3.31,,
1960-05-12,,3.36,,
1960-05-16,,3.62,,
1960-05-18,,3.67,,
1960-05-19,,3.42,,
1960-05-25,,3.32,,
1960-06-01,,3.06,,
1960-06-03,,2.65,,
1960-06-06,,2.62,,
1960-06-08,,2.75,,
1960-06-09,,2.63,,
1960-06-10,,2.38,,
1960-06-13,,2.29,,
1960-06-15,,2.27,,
1960-06-16,,2.32,,
1960-06-17,,2.37,,
1960-06-20,,2.55,,
1960-06-22,,2.36,,
1960-06-23,,2.39,,
1960-06-24,,2.35,,
1960-06-27,,2.31,,
1960-06-28,,2.2,,
1960-06-29,,2.14,,
1960-06-30,,2.19,,
1960-07-01,,2.05,,
1960-07-05,,2.1,,
1960-07-06,,2.25,,
1960-07-07,,2.34,,
1960-07-11,,2.49,,
1960-07-12,,2.42,,
1960-07-13,,2.46,,
1960-07-18,,2.26,,
1960-07-19,,2.28,,
1960-07-26,,2.23,,
1960-08-02,,2.12,,
1960-08-03,,2.17,,
1960-08-04,,2.15,,
1960-08-05,,2.13,,
1960-08-08,,2.18,,
1960-08-09,,2.16,,
1960-08-11,,2.24,,
1960-08-16,,2.22,,
1960-08-17,,2.33,,
1960-08-19,,2.4,,
1960-08-29,,2.48,,
1960-08-30,,2.53,,
1960-08-31,,2.57,,
1960-09-01,,2.58,,
1960-09-06,,2.54,,
1960-09-09,,2.59,,
1960-09-12,,2.61,,
1960-09-22,,2.5,,
1960-09-30,,2.3,,
1960-10-05,,2.45,,
1960-10-06,,2.47,,
1960-10-13,,2.6,,
1960-10-14,,2.44,,
1960-10-24,,2.11,,
1960-10-28,,2.07,,
1960-11-03,,2.21,,
1960-11-09,,2.41,,
1960-11-14,,2.52,,
1961-02-27,,2.56,,
1961-03-03,,2.51,,
1961-03-09,,2.43,,
1961-12-26,,2.64,,
1961-12-27,,2.66,,
1961-12-29,,2.67,,
1962-01-02,3.88,2.7,4.06,
1962-01-03,3.87,2.73,4.03,
1962-01-04,3.86,,3.99,
1962-01-05,3.89,2.74,4.02,
1962-01-08,3.91,,,
1962-01-09,3.93,,4.05,
1962-01-10,3.94,2.81,4.07,
1962-01-11,,,4.08,
1962-01-12,3.95,2.76,,
1962-01-15,3.96,,4.1,
1962-01-16,3.98,,4.13,
1962-01-17,3.97,,4.12,
1962-01-18,,2.71,4.11,
1962-01-22,,,4.09,
1962-01-31,3.99,,,
1962-02-01,4.0,2.69,,
1962-02-14,3.9,,,
1962-02-19,,,4.01,
1962-02-23,3.83,,,
1962-02-26,3.8,,4.0,
1962-02-28,3.77,,,
1962-03-01,3.71,,3.98,
1962-03-02,3.72,,,
1962-03-05,3.74,,,
1962-03-09,,,3.96,
1962-03-12,3.73,,3.94,
1962-03-13,3.7,,3.92,
1962-03-14,,,3.93,
1962-03-20,3.67,,3.91,
1962-03-21,3.61,,3.86,
1962-03-22,3.58,,3.83,
1962-03-23,3.62,,3.87,
1962-03-26,3.65,,3.89,
1962-03-27,,,3.9,
1962-03-28,3.64,,,
1962-04-03,3.55,,,
1962-04-04,3.51,,3.78,
